noh,name,demand,estart,pstart,lfinish,dur,caf,astart
8142,0,7.16,109,109,109,1,0.4,109
8142,1,5.99,69,73,96,9,0.01,73
8142,2,5.93,8,94,105,2,0.4,94
8142,3,4.31,40,116,132,2,0.8,116
8142,4,3.45,97,114,134,2,0.8,114
8142,5,1.76,33,117,141,3,0.5,117
8142,6,1.59,28,95,99,3,0.5,95
8142,7,0.25383333333333336,0,0,2,3,1.0,0
8142,8,0.29560000000000003,3,3,5,3,1.0,3
8142,9,0.2552333333333333,6,6,8,3,1.0,6
8142,10,0.2951,9,9,11,3,1.0,9
8142,11,0.2604333333333333,12,12,14,3,1.0,12
8142,12,0.3154666666666667,15,15,17,3,1.0,15
8142,13,0.2436333333333333,18,18,20,3,1.0,18
8142,14,0.3306000000000001,21,21,23,3,1.0,21
8142,15,0.2189333333333333,24,24,26,3,1.0,24
8142,16,0.3364666666666666,27,27,29,3,1.0,27
8142,17,0.22566666666666665,30,30,32,3,1.0,30
8142,18,0.3201666666666665,33,33,35,3,1.0,33
8142,19,0.21439999999999995,36,36,38,3,1.0,36
8142,20,0.3164,39,39,41,3,1.0,39
8142,21,0.20983333333333332,42,42,44,3,1.0,42
8142,22,0.33243333333333325,45,45,47,3,1.0,45
8142,23,1.2807,48,48,50,3,1.0,48
8142,24,0.43773333333333336,51,51,53,3,1.0,51
8142,25,0.4419,54,54,56,3,1.0,54
8142,26,0.4811666666666667,57,57,59,3,1.0,57
8142,27,0.4073333333333333,60,60,62,3,1.0,60
8142,28,0.5609000000000001,63,63,65,3,1.0,63
8142,29,0.4727666666666666,66,66,68,3,1.0,66
8142,30,0.3754666666666667,69,69,71,3,1.0,69
8142,31,0.5421333333333334,72,72,74,3,1.0,72
8142,32,0.4031,75,75,77,3,1.0,75
8142,33,0.44483333333333336,78,78,80,3,1.0,78
8142,34,0.3724666666666666,81,81,83,3,1.0,81
8142,35,0.4222666666666667,84,84,86,3,1.0,84
8142,36,0.3530999999999999,87,87,89,3,1.0,87
8142,37,0.4296666666666667,90,90,92,3,1.0,90
8142,38,0.3719333333333333,93,93,95,3,1.0,93
8142,39,0.4627,96,96,98,3,1.0,96
8142,40,0.6721,99,99,101,3,1.0,99
8142,41,1.8824666666666665,102,102,104,3,1.0,102
8142,42,2.4467,105,105,107,3,1.0,105
8142,43,1.7248999999999997,108,108,110,3,1.0,108
8142,44,2.4046666666666665,111,111,113,3,1.0,111
8142,45,1.7136333333333331,114,114,116,3,1.0,114
8142,46,2.0590333333333333,117,117,119,3,1.0,117
8142,47,1.3513333333333333,120,120,122,3,1.0,120
8142,48,1.6817333333333333,123,123,125,3,1.0,123
8142,49,1.1358999999999997,126,126,128,3,1.0,126
8142,50,0.9631333333333332,129,129,131,3,1.0,129
8142,51,0.8608666666666667,132,132,134,3,1.0,132
8142,52,0.9192333333333332,135,135,137,3,1.0,135
8142,53,0.7677666666666667,138,138,140,3,1.0,138
8142,54,0.3708,141,141,143,3,1.0,141
1086,0,0.28,25,107,113,3,0.9,107
1086,1,0.25,16,77,102,5,0.3,77
