,max_demand,PAR,objective,cost,inconvenient,step_size
0,40427.0,0.41,30107631.2,30107631.2,0,1.0
1,35264.49304397341,0.47,14710976.9,14710976.9,0,1.0120000000000007
2,37747.27434563934,0.44,14654952.08,14654952.08,0,0.9880000000000008
3,32863.44205008248,0.5,12532124.2,12532124.2,0,1.0060000000000007
4,34466.66749008763,0.48,12325961.57,12325961.57,0,0.8070000000000005
5,32233.889812783083,0.51,12206108.57,12206108.57,0,1.0150000000000006
6,34693.66474454305,0.47,12203070.87,12203070.87,0,0.4100000000000002
7,30701.303473942153,0.54,11845525.4,11845525.4,0,1.0080000000000007
8,31426.38356094096,0.52,11805342.28,11805342.28,0,0.8150000000000005
9,32302.293558810205,0.51,11776787.78,11776787.78,0,0.8370000000000005
10,31500.96978094054,0.52,11690988.57,11690988.57,0,0.6530000000000004
11,31768.261614349354,0.52,11660800.96,11660800.96,0,0.9190000000000007
12,31569.123445954585,0.52,11652452.51,11652452.51,0,0.5870000000000004
13,31347.734380697744,0.53,11614859.0,11614859.0,0,0.6870000000000004
14,30307.037237194738,0.54,11577967.81,11577967.81,0,0.5690000000000003
15,29947.384790348402,0.55,0.0,0.0,0,0.0
