,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,253724.0,8585068.0,0.7,345556921.8,345556921.8,0.0,1.0,0.0
1,234345.9556363941,8585068.0,0.76,212247632.02,211916306.02,331325.99999999994,0.07899999999999999,
2,223978.47586409427,8585068.0,0.8,178324724.16000003,178162104.33,162619.83,0.045,
3,216451.4673328158,8585068.0,0.83,164256148.07578,164127815.75,128332.32578000001,0.034,
4,211718.24176404113,8585068.0,0.84,156582539.66883284,156521248.38,61291.28883283999,0.022,
5,207090.54354748566,8585067.999999998,0.86,153222980.7116457,153163756.52,59224.191645677514,0.022,
6,204407.55748136836,8585068.000000004,0.87,151895706.1055086,151861491.72,34214.38550860619,0.013,
7,201567.4256766292,8585068.0,0.89,150778305.10860288,150750904.51,27400.598602879512,0.014,
8,199377.5739941863,8585067.999999998,0.9,149670605.9534154,149648659.86,21946.093415368323,0.011,
9,199377.5739941863,8585067.999999998,0.9,149670605.9534154,149648659.86,21946.093415368323,0.0,
