,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,178587,192471,151774,120933,106076,161113,124480,110738,125355,185915,167668,147699,194319,218051,215194,181443,123357,176739,231259,211270,186580,144749,202060,195903,131329,194145,168479,212473,234344,201234,192629,241532,194349,200509,245570,185272,188925,155716,198077,150383,170879,129829,144059,161085,197660,154078,201968,145489
1,14378,1878,765198,405119,165920,33271,262408,884214,1140632,2730,26250,274173,1677,158,315,12464,565054,178338,60,114,37613,274368,1574,4525,566962,42427,73078,258,46,2947,5710,10,9255,2256,2,18294,45310,191659,2964,435648,93203,770661,836106,115912,1742,105053,1289,80523
2,171663,13409,933,819773,614270,1069538,1442793,6241,606,4666,112016,161261,5275,645,575,64827,241912,13638,137,1545,297033,1046726,5494,15661,72776,32370,251993,2914,691,14165,77115,112,29979,11397,134,45762,185397,548524,9900,58464,216532,63744,1880,72571,36045,292712,13108,304824
3,222959,10484,2875,153444,920118,2033,1849,22209,2344,536048,622516,450444,21836,1573,2409,684845,921551,29725,332,3493,14496,1765,16964,70897,331508,252718,689405,3468,1480,22295,58675,211,102004,80882,257,177882,60122,28899,28945,410852,177128,8284,2098,600399,171319,73932,77733,376041
4,505461,864007,68267,38655,153462,3391,4739,178505,16148,11404,58104,378381,928378,2716,4978,4582,4128,474701,4026,48020,57443,4437,84018,263436,483838,14340,3594,19826,3342,217940,539455,675,50871,55673,571,269481,120397,196874,146307,47349,257159,469790,2786,7311,168359,902657,201477,112287
5,68306,37265,164356,976881,1747021,4176,11442,651853,49948,27154,45290,56585,4617,43817,157126,4373,4182,91213,5241,146320,110353,4227,168218,196116,182778,207440,7669,82371,3923,78251,64793,1423,750255,289497,1052,62274,76990,137981,630657,148947,52803,30079,50471,45179,77179,56392,189238,450024
6,59608,44875,31438,23853,5832,131508,883325,2222006,15948,20354,35632,47115,13453,86309,160967,12022,2522,87073,4611,156820,124785,27839,170574,210966,181468,200240,7669,115271,3775,187447,205837,1944,115269,91052,959,707823,306859,61274,45907,94747,323503,53879,36721,221379,95079,169477,203373,443359
7,59608,44875,31438,23853,5832,131508,883325,2222006,15948,20354,35632,47115,13453,86309,160967,12022,2522,87073,4611,156820,124785,27839,170574,210966,181468,200240,7669,115271,3775,187447,205837,1944,115269,91052,959,707823,306859,61274,45907,94747,323503,53879,36721,221379,95079,169477,203373,443359
8,59608,44875,31438,23853,5832,131508,883325,2222006,15948,20354,35632,47115,13453,86309,160967,12022,2522,87073,4611,156820,124785,27839,170574,210966,181468,200240,7669,115271,3775,187447,205837,1944,115269,91052,959,707823,306859,61274,45907,94747,323503,53879,36721,221379,95079,169477,203373,443359
9,59608,44875,31438,23853,5832,131508,883325,2222006,15948,20354,35632,47115,13453,86309,160967,12022,2522,87073,4611,156820,124785,27839,170574,210966,181468,200240,7669,115271,3775,187447,205837,1944,115269,91052,959,707823,306859,61274,45907,94747,323503,53879,36721,221379,95079,169477,203373,443359
10,59608,44875,31438,23853,5832,131508,883325,2222006,15948,20354,35632,47115,13453,86309,160967,12022,2522,87073,4611,156820,124785,27839,170574,210966,181468,200240,7669,115271,3775,187447,205837,1944,115269,91052,959,707823,306859,61274,45907,94747,323503,53879,36721,221379,95079,169477,203373,443359
11,59608,44875,31438,23853,5832,131508,883325,2222006,15948,20354,35632,47115,13453,86309,160967,12022,2522,87073,4611,156820,124785,27839,170574,210966,181468,200240,7669,115271,3775,187447,205837,1944,115269,91052,959,707823,306859,61274,45907,94747,323503,53879,36721,221379,95079,169477,203373,443359
