,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,243701.0,7831500.0,0.67,269094934.5,269094934.5,0.0,1.0,0.0
1,217521.49838854215,7831500.000000004,0.75,153200208.42999998,152823590.73,376617.6999999999,0.11299999999999998,
2,205621.58470060406,7831499.999999998,0.79,138082074.9188,137949865.51,132209.4088,0.055999999999999994,
3,198519.67917653933,7831499.999999997,0.82,132622347.790692,132535051.12,87296.670692,0.034999999999999996,
4,191663.65704918065,7831499.999999998,0.85,127952047.71652578,127882327.6,69720.11652578,0.035,
5,187509.49882260163,7831500.0,0.87,126461602.91743644,126418978.36,42624.55743643284,0.022,
6,185473.71233555302,7831500.0,0.88,126021877.54986821,126001476.12,20401.429868199237,0.011,
7,183460.31949986194,7831499.999999997,0.89,124965357.88427144,124952010.5,13347.384271449808,0.011,
8,181490.75498536346,7831500.000000001,0.9,125272978.01877302,125260021.64,12956.37877301405,0.011,
9,181490.75498536346,7831500.000000001,0.9,125272978.01877302,125260021.64,12956.37877301405,0.0,
