,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,379906,315377,297193,284747,267992,268982,199183,268136,298445,300462,312824,331795,295874,427432,405023,447241,393279,359305,335170,435685,379039,365627,346092,358620,308362,391895,355489,322877,349002,337795,280697,294403,314328,345479,404505,376473,379741,307689,290203,341611,404916,335997,329315,361232,333926,299400,311066,282092
1,393,23663,87684,31658,1030755,1399985,2118822,2806162,47974,85920,11090,34132,569934,53,161,11,1051,16289,68532,7,2422,5020,16655,18020,359808,490,12117,44278,6220,13363,3435891,1374998,163258,8256,216,1659,1320,258211,839300,12855,105,17860,37313,4165,25401,725888,245569,166988
2,1064,35130,723784,3086179,1559204,124029,1734357,2543,291902,930014,1453993,28250,135620,163,651,32,1240,39250,329191,24,3670,10097,25904,47237,367303,1220,9631,373057,77430,56440,767,117349,391324,19211,364,2390,3688,1245421,1183316,84380,365,108642,105837,5630,131011,162824,497634,623160
3,15901,1554061,839637,941,66884,646829,242701,300796,881664,461450,51387,882867,3003422,396,1766,54,2803,36460,128700,144,6281,10974,375015,106364,223287,1757,16707,422850,185018,208322,3184,498266,696406,850164,1119,7681,8061,22645,40594,347161,939,386978,294323,17112,247068,754699,625876,654208
4,6729,145937,142009,1428,242319,539726,401035,52072,4631441,1697898,129106,90597,3766,1149,4132,54,5112,159227,471726,325,7933,24592,304670,40413,140880,2723,595705,646673,536259,395061,1384,470486,802772,20381,3372,14391,15158,20239,46066,415411,3215,536078,411086,47157,226791,291325,665837,720076
5,7079,472536,446723,2511,194926,934777,1060668,15390,4347,13924,81343,606522,8151,794,3537,175,10911,259670,777297,325,7733,17397,497731,1422680,3609350,4349,40694,176176,165331,268164,2318,226564,662258,16654,3187,13491,9945,144414,197127,517180,1760,538758,429580,39686,242141,337220,808224,830204
6,6819,521214,508959,4364,259232,1146075,1329730,10513,6350,36163,99246,935484,7197,1264,6186,256,12044,346907,381428,355,21436,296653,248109,6789,4932,4413,1756383,1321344,1082385,1161480,3793,48847,125277,162368,4201,16612,16017,659900,231703,345356,3776,631025,571013,447303,553408,674719,11876,101018
7,36075,291318,772614,5087,44037,17601,6964,332776,122802,1453487,2031284,147770,13379,2427,10090,509,15189,261776,205862,430,49087,489540,1695828,30446,25457,13306,10774,17350,12253,23122,17900,1458968,1352083,1147154,5740,46250,14304,23258,725102,725487,5368,12905,301347,61298,308965,375927,717942,693284
8,290877,1199908,1906521,57562,326991,31075,41184,1306062,162318,32918,9867,49877,83197,3679,10029,256,54437,747681,568889,641,694676,787630,46183,448714,57095,40257,6723,61590,172317,707255,10172,26745,40083,22963,6976,715412,518799,278811,205804,149772,7504,87303,1476763,1044465,586066,400787,235901,411187
9,55532,17440,7761,8627,4167910,1927608,432687,25047,24923,24993,11962,98852,159506,3717,14996,667,199948,137281,136927,1148,106282,44827,58189,239374,1438733,197769,6373,29887,45188,30763,111761,596780,167228,411629,8996,20205,32857,753682,653239,316448,10010,822251,77158,22338,1312072,683470,255537,221344
