,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,24.5,22.1,14.8,14.6,14.5,14.4,14.8,15.8,15.8,17.0,17.0,17.0,15.4,22.1,14.8,15.8,20.3,17.8,22.1,14.6,15.1,15.8,17.0,15.8,182.1,50.9,20.3,18.9,14.8,22.1,17.0,27.5,42.7,42.7,144.6,50.9,50.9,27.5,20.3,61.6,182.1,230.4,24.5,17.8,22.1,15.4,22.1,15.1
1,20.3,20.3,15.8,15.4,15.4,15.8,20.3,15.4,15.4,15.8,15.8,15.8,15.1,20.3,17.0,15.8,17.8,17.0,20.3,36.3,22.1,15.8,15.8,15.4,92.8,31.3,17.8,20.3,31.3,18.9,15.8,22.1,31.3,31.3,92.8,31.3,31.3,22.1,17.8,42.7,92.8,144.6,20.3,17.0,18.9,17.0,18.9,14.8
2,17.8,17.8,17.0,15.8,15.4,15.8,17.8,15.4,15.8,16.3,17.0,17.0,15.8,17.8,15.8,17.0,17.0,15.8,17.8,27.5,20.3,18.9,27.5,31.3,61.6,24.5,17.0,17.8,24.5,18.9,22.1,20.3,24.5,24.5,61.6,24.5,27.5,20.3,18.9,31.3,61.6,92.8,18.9,17.0,17.8,16.3,20.3,15.1
3,17.0,17.0,16.3,18.9,17.8,17.8,17.0,20.3,22.1,15.8,15.8,15.8,16.3,17.0,17.0,16.3,16.3,27.5,18.9,22.1,17.8,17.8,24.5,24.5,50.9,22.1,17.8,22.1,20.3,17.8,20.3,17.8,22.1,22.1,50.9,22.1,22.1,18.9,20.3,27.5,50.9,61.6,17.8,17.0,20.3,20.3,17.8,14.8
4,17.0,17.0,16.3,17.8,17.8,17.8,17.0,18.9,22.1,17.8,18.9,20.3,15.8,17.0,16.3,16.3,16.3,24.5,17.8,22.1,17.8,17.8,22.1,24.5,42.7,22.1,17.8,20.3,20.3,17.8,18.9,18.9,20.3,20.3,42.7,22.1,22.1,18.9,20.3,24.5,42.7,61.6,17.8,17.0,18.9,20.3,17.8,15.1
5,16.3,16.3,17.0,17.8,17.8,17.8,16.3,18.9,20.3,17.0,18.9,20.3,22.1,17.8,17.0,17.8,17.8,24.5,17.8,22.1,17.8,17.8,22.1,24.5,36.3,20.3,17.8,20.3,20.3,17.8,20.3,17.8,20.3,20.3,36.3,20.3,22.1,20.3,20.3,24.5,36.3,50.9,18.9,17.8,18.9,18.9,18.9,15.4
6,18.9,24.5,17.0,17.0,17.0,17.8,18.9,17.8,18.9,17.0,17.8,18.9,20.3,17.8,17.0,17.8,18.9,22.1,17.0,20.3,20.3,20.3,20.3,22.1,31.3,18.9,17.8,18.9,17.8,18.9,18.9,22.1,20.3,18.9,31.3,20.3,20.3,17.8,18.9,22.1,31.3,42.7,18.9,20.3,17.8,17.8,20.3,15.8
7,17.8,22.1,17.8,17.8,17.0,17.8,18.9,17.8,18.9,17.0,17.8,17.8,18.9,18.9,17.8,20.3,17.8,22.1,17.8,18.9,18.9,20.3,20.3,20.3,31.3,18.9,20.3,18.9,20.3,18.9,17.8,22.1,18.9,17.8,31.3,18.9,18.9,20.3,18.9,20.3,31.3,36.3,18.9,18.9,18.9,18.9,20.3,15.8
8,17.8,22.1,17.8,17.8,17.8,17.8,17.8,17.0,17.8,17.0,20.3,20.3,17.8,17.8,17.8,18.9,17.8,20.3,18.9,20.3,18.9,20.3,18.9,20.3,31.3,18.9,18.9,17.8,20.3,18.9,20.3,22.1,20.3,20.3,27.5,18.9,18.9,20.3,18.9,20.3,27.5,36.3,18.9,18.9,18.9,18.9,20.3,15.8
9,17.8,20.3,17.8,18.9,17.8,17.8,17.8,17.8,17.8,17.8,18.9,18.9,18.9,20.3,18.9,18.9,18.9,20.3,17.8,18.9,17.8,18.9,17.8,18.9,27.5,18.9,20.3,22.1,18.9,18.9,20.3,20.3,18.9,20.3,24.5,20.3,20.3,18.9,18.9,20.3,24.5,31.3,20.3,18.9,18.9,18.9,20.3,16.3
10,17.8,20.3,17.8,17.8,17.8,17.8,18.9,17.8,20.3,18.9,17.8,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,17.8,18.9,22.1,20.3,24.5,17.8,20.3,22.1,18.9,18.9,18.9,20.3,20.3,20.3,24.5,18.9,18.9,20.3,20.3,18.9,24.5,31.3,18.9,20.3,20.3,18.9,20.3,16.3
11,17.8,20.3,17.8,17.8,17.8,17.8,18.9,17.8,20.3,18.9,17.8,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,17.8,18.9,22.1,20.3,24.5,17.8,20.3,22.1,18.9,18.9,18.9,20.3,20.3,20.3,24.5,18.9,18.9,20.3,20.3,18.9,24.5,31.3,18.9,20.3,20.3,18.9,20.3,16.3
12,17.8,20.3,17.8,17.8,17.8,17.8,18.9,17.8,20.3,18.9,17.8,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,17.8,18.9,22.1,20.3,24.5,17.8,20.3,22.1,18.9,18.9,18.9,20.3,20.3,20.3,24.5,18.9,18.9,20.3,20.3,18.9,24.5,31.3,18.9,20.3,20.3,18.9,20.3,16.3
