repeat,no_households,algorithm,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
0,10,heuristic,5,1,piece-wise,24000,24000.0,0.00%,5.84,5.84,0.00%,3214206.2,2761704.0,14.10%,3214206.2,2761696.0,14.10%,0.0
0,10,heuristic_fw,5,1,piece-wise,24000,14605.698762944405,39.10%,5.84,3.55,39.20%,3214206.2,2764797.9850480002,14.00%,3214206.2,2764800.56,14.00%,0.002
0,50,heuristic,5,1,piece-wise,42337,47156.0,-11.40%,2.63,2.93,-11.40%,11716455.5,10825571.0,7.60%,11716455.5,10825150.0,7.60%,0.0
0,50,heuristic_fw,5,1,piece-wise,42337,26745.93564032653,36.80%,2.63,1.66,36.90%,11716455.5,10846705.399560738,7.40%,11716455.5,10846703.46,7.40%,0.001
0,100,heuristic,5,1,piece-wise,78561,90445.0,-15.10%,1.96,2.26,-15.30%,28934055.1,26927061.0,6.90%,28934055.1,26926536.0,6.90%,0.001
0,100,heuristic_fw,5,1,piece-wise,78561,49524.90685290515,37.00%,1.96,1.24,36.70%,28934055.1,26983404.180577625,6.70%,28934055.1,26983373.95,6.70%,0.001
1,10,heuristic,5,1,piece-wise,22545,22545.0,0.00%,5.56,5.56,0.00%,3314518.0,2723164.0,17.80%,3314518.0,2723154.0,17.80%,0.0
1,10,heuristic_fw,5,1,piece-wise,22545,13585.899042739447,39.70%,5.56,3.35,39.70%,3314518.0,2725002.912008,17.80%,3314518.0,2725005.14,17.80%,0.001
1,50,heuristic,5,1,piece-wise,53637,62116.0,-15.80%,2.52,2.92,-15.90%,15459768.4,14285379.0,7.60%,15459768.4,14285250.0,7.60%,0.001
1,50,heuristic_fw,5,1,piece-wise,53637,33949.64034382121,36.70%,2.52,1.6,36.50%,15459768.4,14302702.083993956,7.50%,15459768.4,14302666.01,7.50%,0.002
1,100,heuristic,5,1,piece-wise,69045,102712.0,-48.80%,1.67,2.49,-49.10%,31745852.0,27768613.0,12.50%,31745852.0,27764640.0,12.50%,0.001
1,100,heuristic_fw,5,1,piece-wise,69045,44854.994372249064,35.00%,1.67,1.09,34.70%,31745852.0,27899640.31551178,12.10%,31745852.0,27899582.66,12.10%,0.001
