repeat,no_households,algorithm,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
0,10,heuristic,5,1,piece-wise,29291,29291.0,0.00%,9.26,9.26,0.00%,2613510.4,2126572.0,18.60%,2613510.4,2126572.0,18.60%,0.0
0,10,heuristic_fw,5,1,piece-wise,29291,15796.118978605426,46.10%,9.26,4.99,46.10%,2613510.4,2126808.2800000003,18.60%,2613510.4,2126776.43,18.60%,0.0
0,50,heuristic,5,1,piece-wise,47099,66210.0,-40.60%,2.26,3.17,-40.30%,15896125.6,14022550.0,11.80%,15896125.6,14022146.0,11.80%,0.001
0,50,heuristic_fw,5,1,piece-wise,47099,30453.69036554788,35.30%,2.26,1.46,35.40%,15896125.6,14050649.26119835,11.60%,15896125.6,14050620.22,11.60%,0.002
0,100,heuristic,5,1,piece-wise,76698,68436.0,10.80%,2.07,1.85,10.60%,26615118.1,24850734.0,6.60%,26615118.1,24850378.0,6.60%,0.001
0,100,heuristic_fw,5,1,piece-wise,76698,48192.16098608247,37.20%,2.07,1.3,37.20%,26615118.1,24899496.7678328,6.40%,26615118.1,24899446.52,6.40%,0.001
1,10,heuristic,5,1,piece-wise,18202,21418.0,-17.70%,3.57,4.2,-17.60%,4487027.8,3430712.0,23.50%,4487027.8,3430644.0,23.50%,0.0
1,10,heuristic_fw,5,1,piece-wise,18202,11998.384329495702,34.10%,3.57,2.35,34.20%,4487027.8,3439058.473163396,23.40%,4487027.8,3439057.68,23.40%,0.001
1,50,heuristic,5,1,piece-wise,55630,55720.0,-0.20%,2.52,2.52,0.00%,15852438.1,14852775.0,6.30%,15852438.1,14852558.0,6.30%,0.001
1,50,heuristic_fw,5,1,piece-wise,55630,35247.432938595986,36.60%,2.52,1.59,36.90%,15852438.1,14872310.4361032,6.20%,15852438.1,14872275.24,6.20%,0.002
