repeat,no_households,algorithm,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
0,10,heuristic,5,1,piece-wise,39263,33263.0,15.30%,7.15,6.06,15.20%,4456381.8,3688902.0,17.20%,4456381.8,3688902.0,17.20%,0.0
0,10,heuristic_fw,5,1,piece-wise,39263,21195.694450900493,46.00%,7.15,3.86,46.00%,4456381.8,3689179.632,17.20%,4456381.8,3689132.2,17.20%,0.001
0,50,heuristic,5,1,piece-wise,37719,63421.0,-68.10%,2.1,3.54,-68.60%,13900177.3,12049453.0,13.30%,13900177.3,12048655.0,13.30%,0.001
0,50,heuristic_fw,5,1,piece-wise,37719,24101.941411332875,36.10%,2.1,1.34,36.20%,13900177.3,12087530.858386695,13.00%,13900177.3,12087517.74,13.00%,0.001
0,100,heuristic,5,1,piece-wise,91047,86089.0,5.40%,1.99,1.88,5.50%,32573232.4,30748469.0,5.60%,32573232.4,30747794.0,5.60%,0.001
0,100,heuristic_fw,5,1,piece-wise,91047,57452.70797017551,36.90%,1.99,1.26,36.70%,32573232.4,30822315.051183682,5.40%,32573232.4,30822303.77,5.40%,0.001
1,10,heuristic,5,1,piece-wise,23700,26100.0,-10.10%,4.38,4.83,-10.30%,4134867.4,3634614.0,12.10%,4134867.4,3634582.0,12.10%,0.0
1,10,heuristic_fw,5,1,piece-wise,23700,14795.647324575342,37.60%,4.38,2.74,37.40%,4134867.4,3636798.631328352,12.00%,4134867.4,3636776.82,12.00%,0.001
1,50,heuristic,5,1,piece-wise,58431,51111.0,12.50%,3.15,2.76,12.40%,13667640.3,12449019.0,8.90%,13667640.3,12448996.0,8.90%,0.0
1,50,heuristic_fw,5,1,piece-wise,58431,34674.011244068395,40.70%,3.15,1.87,40.60%,13667640.3,12456263.513113001,8.90%,13667640.3,12456261.97,8.90%,0.002
1,100,heuristic,5,1,piece-wise,70481,393917.0,-458.90%,1.62,9.08,-460.50%,34409757.8,29180136.0,15.20%,34409757.8,29154964.0,15.30%,0.001
1,100,heuristic_fw,5,1,piece-wise,70481,47879.104717009286,32.10%,1.62,1.1,32.10%,34409757.8,29335175.264977865,14.70%,34409757.8,29334847.92,14.70%,0.001
