,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,3494.996,3513.31,3474.525,3353.955,3379.317,3191.735,2969.403,2891.519,2966.63,2978.449,3248.785,3545.525,3708.126,3919.036,4113.247,4138.911,4220.7,4195.969,4193.531,4321.902,4308.375,4228.329,4133.443,4058.881,4056.387,4362.424,4235.576,4438.406,4218.268,4052.468,4130.376,4498.054,4928.39,4500.859,4554.266,4702.188,4872.119,4912.178,4670.321,4422.132,4597.855,4649.538,3966.822,3995.287,3823.435,3717.34,3602.164,3133.251
1,100.584,11.187,0.961,8.175,22.245,218.3,18387.488,20927.185,48191.162,102669.651,212.876,9.941,0.202,0.104,0.001,0.03,0.024,0.051,0.074,0.014,0.008,0.021,0.092,1.229,1.429,0.0,0.022,0.0,0.051,4.268,0.575,0.0,0.0,0.001,0.012,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.934,0.059,0.491,0.428,4.87,813.939
2,461.253,43.473,34.887,5924.48,6900.662,12875.896,37656.84,43667.706,4.671,0.0,3549.144,17.03,0.731,0.083,0.015,0.079,0.048,0.083,0.167,0.004,0.0,0.079,0.895,0.63,1.35,0.001,0.107,0.0,0.129,2.49,2.574,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.707,0.25,0.148,0.884,7436.826,73003.347
3,98.91,178.742,3909.397,23196.556,46111.135,70732.229,20.78,0.774,3.003,0.0,46395.328,462.912,74.668,1.53,0.017,0.046,0.034,0.111,0.205,0.004,0.037,0.015,0.082,3.43,4.132,0.0,0.015,0.001,0.092,11.893,0.797,0.0,0.0,0.007,0.039,0.0,0.0,0.0,0.0,0.037,0.0,0.0,1.512,0.246,5.873,257.921,115.624,0.569
4,110046.975,49489.869,14878.033,1555.369,10.479,0.005,0.357,3.504,14.653,0.0,0.251,11702.912,2413.211,110.9,2.737,0.072,0.05,0.083,0.148,0.031,0.021,0.064,0.235,3.223,4.076,0.009,0.056,0.001,0.171,11.417,1.533,0.001,0.0,0.036,0.014,0.0,0.0,0.0,0.0,0.078,0.002,0.0,2.105,0.468,13.5,768.304,340.194,213.556
5,38.651,13388.9,16615.724,3261.525,0.021,0.001,2.269,2.037,4798.547,0.002,7.933,20024.406,45433.02,58.598,0.622,0.268,0.029,0.168,0.405,0.012,0.017,0.023,2.735,2.467,4.761,0.008,0.063,0.003,0.183,8.026,8.69,0.001,0.0,0.013,0.062,0.0,0.0,0.0,0.0,0.062,0.002,0.0,18.978,489.575,5076.388,54766.66,27576.064,0.784
6,513.936,1233.575,2712.835,3369.473,59.512,23.144,30640.209,46950.459,105164.606,0.044,23.079,47.632,0.013,40.976,1.607,0.731,0.192,0.815,1.598,0.026,0.025,0.329,1.403,13.328,15.344,0.023,0.114,0.016,0.378,37.006,4.647,0.001,0.0,0.05,0.029,0.008,0.0,0.0,0.001,0.125,0.004,0.0,384.417,137.702,185.842,0.004,0.273,23.172
7,729.284,8551.869,52588.709,90580.947,98.929,0.004,4.142,0.315,0.016,0.005,3.621,16.239,0.01,90.311,18.623,6.223,3.222,0.711,1.442,0.02,0.017,1.325,1.227,22.171,24.45,0.023,0.08,0.01,2.052,29.801,3.645,0.001,0.0,0.045,0.028,0.008,0.0,0.0,0.001,0.127,0.004,0.021,672.665,3117.986,34974.167,0.002,2.511,41.694
8,44.48,40.37,21.357,1.065,0.191,0.007,520.249,11.743,0.538,0.034,4716.437,5474.893,12.817,109432.296,31230.712,4796.783,527.32,18.574,0.83,0.019,0.015,6.352,30.513,27.453,29.85,0.028,0.587,0.015,1.359,23.031,33.325,0.003,0.0,0.11,0.067,0.001,0.0,0.0,0.015,0.138,0.001,0.027,16331.056,14706.215,3544.95,0.0,0.642,2.235
9,508.442,4774.914,124.344,1.309,0.212,0.008,6155.152,279.836,0.525,0.255,40434.701,60336.814,0.299,0.003,0.09,8.492,1.813,1.286,1.743,0.091,0.872,453.317,8114.092,14492.276,26972.412,0.056,0.8,0.138,27.25,27851.066,663.364,0.003,0.0,0.092,0.064,0.001,0.0,0.0,0.015,0.379,0.002,0.002,61.563,46.453,44.975,0.0,113.497,115.685
10,48632.648,69548.491,7807.822,41.332,1.089,0.008,24888.944,960.686,2.171,0.015,0.037,0.005,0.097,0.012,2.549,50.881,44.945,80.018,132.437,0.066,0.681,1.658,3.083,5.456,0.176,0.673,4.441,0.067,1.815,4.91,91.499,0.004,0.0,0.057,0.175,0.007,0.0,0.0,0.008,0.288,0.006,0.001,34715.725,2144.776,39.276,0.001,114.36,2265.307
11,61.388,2.109,386.222,1.244,187.201,0.034,749.818,911.089,5.407,0.022,0.099,0.004,0.056,0.012,0.864,1446.839,1610.884,1561.319,1386.373,18.111,0.749,2.375,450.894,568.626,0.064,0.099,0.616,0.059,126.38,2.953,218.12,0.067,0.0,0.041,0.142,0.003,0.003,0.0,0.0,0.326,0.05,0.055,7369.997,114434.898,57932.081,7.418,1618.725,524.867
