,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,836.823,808.477,740.582,641.957,644.212,654.611,609.243,569.929,607.942,721.233,739.981,760.807,770.664,809.422,766.946,795.303,885.848,876.766,797.968,837.348,891.394,946.093,996.254,963.848,969.822,1009.888,1007.495,908.704,884.788,970.63,842.904,743.9,847.756,804.407,825.278,869.973,952.877,992.452,1064.836,1086.548,909.786,730.714,840.707,894.188,813.57,912.583,886.487,691.966
1,0.012,0.015,0.093,2032.91,1198.013,818.933,2010.314,8154.451,20044.24,2419.127,1268.924,243.341,38.406,0.03,1.478,0.711,0.001,0.009,3.65,0.288,0.007,0.0,0.0,0.0,0.007,0.0,0.0,0.034,0.011,0.0,1.506,46.01,17.209,16.836,10.569,0.004,0.001,0.0,0.0,0.0,0.0,1502.902,102.36,43.364,57.351,2.553,0.195,100.045
2,21.555,3.618,2.709,2032.778,1274.754,2158.442,8227.687,17994.769,2.4,1336.473,2045.725,252.462,36.018,0.372,1.158,2.349,0.004,0.015,6.209,0.608,0.008,0.0,0.0,0.0,0.007,0.0,0.0,0.054,0.023,3.0,18.339,964.396,54.36,110.097,83.121,17.422,11.6,26.526,13.957,13.293,9.965,195.473,69.153,33.48,28.866,33.512,52.035,2997.118
3,0.009,0.054,94.505,3479.178,8873.98,20570.436,186.571,0.0,0.0,0.223,13.822,1469.433,2257.579,274.85,126.527,16.275,0.009,0.004,5.317,0.318,0.057,0.002,0.0,0.0,0.007,0.0,0.0,0.022,0.078,0.0,19.121,1324.302,33.166,46.784,37.881,0.185,0.0,0.001,0.0,0.0,0.001,1006.027,98.824,31.86,51.652,2.505,0.293,114.052
4,0.013,94.28,9447.055,12424.298,1638.738,0.007,1077.22,0.0,0.0,1.495,0.616,0.429,31.225,282.589,6204.537,1083.862,2.413,0.008,4.427,0.697,0.048,0.0,0.0,0.005,0.015,0.0,0.0,0.067,0.053,0.0,2.374,194.992,174.725,251.657,169.662,0.191,0.0,0.001,0.0,0.0,0.013,5857.615,447.081,124.658,190.262,6.563,27.443,394.576
5,5.189,2.15,0.055,0.001,0.283,0.025,0.796,0.001,0.001,16621.974,9289.691,2542.327,454.813,94.645,9.156,1.504,0.032,0.008,4.126,8.128,0.077,0.002,0.0,0.007,0.023,0.0,0.0,0.141,0.03,0.0,651.571,8089.124,92.905,442.782,517.555,38.197,0.0,0.001,0.0,0.0,0.048,20.053,18.287,12.157,70.027,7.053,58.189,1082.776
6,28.922,18.151,2.587,0.004,0.45,0.611,7438.76,0.001,0.012,0.002,0.013,1602.332,1846.262,1553.215,121.995,15.259,0.036,363.081,12818.841,7607.062,0.395,0.01,0.001,0.006,0.023,0.0,0.0,0.16,0.04,3.0,15.044,12.722,171.286,1358.983,1248.558,28.754,14.275,29.093,20.273,13.596,10.262,63.981,98.524,75.935,279.187,33.748,47.52,3192.938
7,617.763,1088.956,8.599,3.031,4913.674,7.394,7.664,4.276,11.617,24.846,29.722,2327.701,3704.292,3344.234,5.48,48.577,27.108,44.855,26.586,24.708,21.046,24.933,64.153,67.689,52.446,43.522,71.433,64.291,60.94,76.271,118.784,166.582,4399.41,5869.411,5229.799,66.836,46.353,63.046,76.549,51.039,39.927,139.282,251.227,54.32,54.52,44.265,380.562,6266.191
8,12.24,22.809,2.987,0.01,0.053,0.169,9.875,0.001,0.021,0.013,0.139,0.721,0.03,340.436,8140.094,18302.708,909.609,10.103,0.069,0.081,0.672,0.057,0.0,0.045,0.025,0.008,0.002,0.251,0.238,0.0,1476.176,1034.426,0.548,0.003,0.013,11.245,0.072,0.001,0.0,0.0,0.083,1153.764,1273.284,678.762,6345.264,153.301,223.893,31.609
9,1527.728,3161.058,18.719,1.048,0.051,0.308,3085.451,0.006,0.078,0.019,0.879,9.519,1.27,0.448,0.393,0.109,1.814,23.021,0.06,0.101,0.837,0.047,0.0,0.035,0.052,0.002,0.001,0.333,1.791,0.014,8823.133,4993.608,1.218,0.015,0.013,1441.635,0.111,0.003,0.0,0.0,1345.94,6925.049,6330.092,659.067,1650.197,48.519,77.331,4.787
10,6914.547,13076.545,2892.489,221.06,4.287,0.132,0.221,0.017,0.111,0.007,164.138,1984.616,37.238,12.878,37.121,202.477,1370.881,6366.479,0.07,1.616,6.855,0.015,0.001,0.05,0.045,0.0,0.001,4.35,34.372,0.103,0.05,0.199,0.056,0.033,0.322,17.302,0.198,0.003,0.0,0.0,0.245,0.196,0.172,476.615,5662.675,447.397,182.216,15.509
11,0.391,0.097,0.733,0.054,0.13,0.331,8.221,0.016,0.041,0.003,3074.609,16619.127,7211.511,206.229,37.729,105.937,174.92,166.893,0.052,1.353,11.743,0.085,0.001,0.038,0.065,0.005,0.001,1062.123,5453.061,1.278,0.044,0.092,0.108,0.036,1.553,4258.668,0.925,0.003,0.0,0.0,0.935,0.202,0.068,26.845,179.24,605.852,924.54,0.022
12,0.55,0.207,0.778,0.286,164.674,238.91,284.473,0.022,0.139,0.039,0.612,0.007,0.017,39.647,189.42,621.907,724.535,515.355,143.093,7279.991,21497.506,312.507,0.038,0.035,0.081,0.005,0.001,13.243,8.19,0.206,0.087,4.729,0.403,0.056,0.08,6.39,0.76,0.001,2.4,3.6,8.244,11.686,7.297,73.555,618.498,2148.705,5060.394,152.551
