,repeat,algorithm,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,639.368,21,2000,5,1,piece-wise,1102277,24930945.0,-21.618,1.34,30.35,-21.649,654575573.3,7769982574.6,-10.87,654575573.3,7767422069.6,-10.866
1,0,optimal_fw,0.005,21,2000,5,1,piece-wise,1102277,869060.8910387949,0.212,1.34,1.06,0.209,654575573.3,571785167.1733422,0.126,654575573.3,571781117.41,0.126
2,0,heuristic,0.654,19,2000,5,1,piece-wise,1102277,22683236.0,-19.579,1.34,27.62,-19.612,654575573.3,6816698013.2,-9.414,654575573.3,6814303086.2,-9.41
3,0,heuristic_fw,0.005,19,2000,5,1,piece-wise,1102277,875581.102367057,0.206,1.34,1.07,0.201,654575573.3,572032083.6381583,0.126,654575573.3,572029700.65,0.126
4,1,optimal,776.167,22,2000,5,1,piece-wise,1036565,25268722.0,-23.377,1.29,31.48,-23.403,623960928.1,7615296496.6,-11.205,623960928.1,7612882503.6,-11.201
5,1,optimal_fw,0.004,22,2000,5,1,piece-wise,1036565,849500.1243354139,0.18,1.29,1.06,0.178,623960928.1,568721300.3173811,0.089,623960928.1,568720150.23,0.089
6,1,heuristic,0.931,29,2000,5,1,piece-wise,1036565,17025222.0,-15.425,1.29,21.21,-15.442,623960928.1,6964246298.6,-10.161,623960928.1,6961833123.6,-10.157
7,1,heuristic_fw,0.003,29,2000,5,1,piece-wise,1036565,836563.6596456959,0.193,1.29,1.04,0.194,623960928.1,568501962.6376277,0.089,623960928.1,568501670.83,0.089
8,2,optimal,806.73,24,2000,5,1,piece-wise,1007115,8487403.0,-7.427,1.2,10.13,-7.442,726602330.1,5223792998.7,-6.189,726602330.1,5222969958.7,-6.188
9,2,optimal_fw,0.003,24,2000,5,1,piece-wise,1007115,866766.9123528384,0.139,1.2,1.03,0.142,726602330.1,629613486.8574322,0.133,726602330.1,629612750.16,0.133
10,2,heuristic,0.651,24,2000,5,1,piece-wise,1007115,11574467.0,-10.493,1.2,13.81,-10.508,726602330.1,5574476331.9,-6.672,726602330.1,5573381700.9,-6.67
11,2,heuristic_fw,0.003,24,2000,5,1,piece-wise,1007115,861721.1792460502,0.144,1.2,1.03,0.142,726602330.1,629455242.0269983,0.134,726602330.1,629453758.41,0.134
12,3,optimal,727.687,30,2000,5,1,piece-wise,1093931,3645628.0,-2.333,1.38,4.59,-2.326,584935691.6,2876461991.0,-3.918,584935691.6,2876278307.0,-3.917
13,3,optimal_fw,0.004,30,2000,5,1,piece-wise,1093931,840638.7992396055,0.232,1.38,1.06,0.232,584935691.6,547993264.880808,0.063,584935691.6,547993148.46,0.063
14,3,heuristic,0.728,29,2000,5,1,piece-wise,1093931,2265627.0,-1.071,1.38,2.85,-1.065,584935691.6,1492847970.0,-1.552,584935691.6,1492790894.0,-1.552
15,3,heuristic_fw,0.004,29,2000,5,1,piece-wise,1093931,837062.436668608,0.235,1.38,1.05,0.239,584935691.6,547980090.2534834,0.063,584935691.6,547980042.33,0.063
16,4,optimal,672.297,29,2000,5,1,piece-wise,1053998,25413572.0,-23.112,1.29,31.21,-23.194,631049342.2,7670345484.6,-11.155,631049342.2,7668575869.6,-11.152
17,4,optimal_fw,0.004,29,2000,5,1,piece-wise,1053998,851947.8286572731,0.192,1.29,1.05,0.186,631049342.2,575839933.6423762,0.087,631049342.2,575837190.22,0.087
18,4,heuristic,0.583,30,2000,5,1,piece-wise,1053998,13536685.0,-11.843,1.29,16.63,-11.891,631049342.2,6734051852.6,-9.671,631049342.2,6731907467.6,-9.668
19,4,heuristic_fw,0.003,30,2000,5,1,piece-wise,1053998,857016.7269241067,0.187,1.29,1.05,0.186,631049342.2,575956166.2545528,0.087,631049342.2,575954074.94,0.087
20,0,optimal,1418.207,22,4000,5,1,piece-wise,2078455,50812141.0,-23.447,1.28,31.2,-23.375,1282315481.6,15722718948.8,-11.261,1282315481.6,15717209906.8,-11.257
21,0,optimal_fw,0.004,22,4000,5,1,piece-wise,2078455,1772226.4114368872,0.147,1.28,1.09,0.148,1282315481.6,1161771887.637614,0.094,1282315481.6,1161764753.8,0.094
22,0,heuristic,1.449,28,4000,5,1,piece-wise,2078455,22740063.0,-9.941,1.28,13.96,-9.906,1282315481.6,12392223981.8,-8.664,1282315481.6,12389643136.8,-8.662
23,0,heuristic_fw,0.003,28,4000,5,1,piece-wise,2078455,1750895.725484358,0.158,1.28,1.08,0.156,1282315481.6,1160871552.6578896,0.095,1282315481.6,1160869464.24,0.095
24,1,optimal,1630.284,18,4000,5,1,piece-wise,1923550,49072635.0,-24.511,1.18,30.13,-24.534,1403951168.8,15736559277.4,-10.209,1403951168.8,15729786686.4,-10.204
25,1,optimal_fw,0.004,18,4000,5,1,piece-wise,1923550,1732460.6710390465,0.099,1.18,1.06,0.102,1403951168.8,1255096059.0245771,0.106,1403951168.8,1255092859.01,0.106
26,1,heuristic,1.405,27,4000,5,1,piece-wise,1923550,42737881.0,-21.218,1.18,26.24,-21.237,1403951168.8,13466252632.0,-8.592,1403951168.8,13461157389.0,-8.588
27,1,heuristic_fw,0.003,27,4000,5,1,piece-wise,1923550,1682691.2543270981,0.125,1.18,1.03,0.127,1403951168.8,1251274023.9480524,0.109,1403951168.8,1251273158.19,0.109
28,2,optimal,1520.427,27,4000,5,1,piece-wise,2005605,49926321.0,-23.893,1.25,31.15,-23.92,1296679732.3,15315392732.6,-10.811,1296679732.3,15310528891.6,-10.807
29,2,optimal_fw,0.004,27,4000,5,1,piece-wise,2005605,1682453.5273057534,0.161,1.25,1.05,0.16,1296679732.3,1158016360.4685564,0.107,1296679732.3,1158012478.76,0.107
30,2,heuristic,1.699,25,4000,5,1,piece-wise,2005605,42273421.0,-20.078,1.25,26.38,-20.104,1296679732.3,12914189672.8,-8.959,1296679732.3,12909832973.8,-8.956
31,2,heuristic_fw,0.004,25,4000,5,1,piece-wise,2005605,1685588.3748600753,0.16,1.25,1.05,0.16,1296679732.3,1157970774.7081835,0.107,1296679732.3,1157966189.07,0.107
32,3,optimal,1361.603,34,4000,5,1,piece-wise,2049355,50643476.0,-23.712,1.27,31.33,-23.669,1309175732.8,15245657088.4,-10.645,1309175732.8,15242443919.4,-10.643
33,3,optimal_fw,0.003,34,4000,5,1,piece-wise,2049355,1694556.3145512,0.173,1.27,1.05,0.173,1309175732.8,1157226697.4627476,0.116,1309175732.8,1157223767.2,0.116
34,3,heuristic,1.76,25,4000,5,1,piece-wise,2049355,43478606.0,-20.216,1.27,26.9,-20.181,1309175732.8,15033688464.4,-10.483,1309175732.8,15029509274.4,-10.48
35,3,heuristic_fw,0.003,25,4000,5,1,piece-wise,2049355,1714063.9778070492,0.164,1.27,1.06,0.165,1309175732.8,1157781192.665054,0.116,1309175732.8,1157778487.63,0.116
36,4,optimal,1655.173,24,4000,5,1,piece-wise,1907861,50614849.0,-25.53,1.19,31.69,-25.63,1436006031.9,15429268970.2,-9.745,1436006031.9,15422811307.2,-9.74
37,4,optimal_fw,0.004,24,4000,5,1,piece-wise,1907861,1645276.8974910034,0.138,1.19,1.03,0.134,1436006031.9,1208729513.5836177,0.158,1436006031.9,1208725102.78,0.158
38,4,heuristic,1.769,30,4000,5,1,piece-wise,1907861,31263543.0,-15.387,1.19,19.57,-15.445,1436006031.9,12848863798.2,-7.948,1436006031.9,12843375517.2,-7.944
39,4,heuristic_fw,0.003,30,4000,5,1,piece-wise,1907861,1643881.6898346206,0.138,1.19,1.03,0.134,1436006031.9,1208821064.1316674,0.158,1436006031.9,1208815961.28,0.158
40,0,optimal,2551.421,18,6000,5,1,piece-wise,2921948,62036610.0,-20.231,1.21,25.63,-20.182,2066899344.4,22977595420.2,-10.117,2066899344.4,22970032623.2,-10.113
41,0,optimal_fw,0.004,18,6000,5,1,piece-wise,2921948,2588788.4292256935,0.114,1.21,1.07,0.116,2066899344.4,1812287837.9223285,0.123,2066899344.4,1812275845.5,0.123
42,0,heuristic,2.65,20,6000,5,1,piece-wise,2921948,61344400.0,-19.994,1.21,25.34,-19.942,2066899344.4,20987516483.3,-9.154,2066899344.4,20980405265.3,-9.151
43,0,heuristic_fw,0.004,20,6000,5,1,piece-wise,2921948,2577000.7562527102,0.118,1.21,1.06,0.124,2066899344.4,1811139301.0001388,0.124,2066899344.4,1811135323.61,0.124
44,1,optimal,2103.123,27,6000,5,1,piece-wise,3005461,76609693.0,-24.49,1.22,31.08,-24.475,2009681634.5,23652545981.0,-10.769,2009681634.5,23644238084.0,-10.765
45,1,optimal_fw,0.004,27,6000,5,1,piece-wise,3005461,2626618.3088476458,0.126,1.22,1.07,0.123,2009681634.5,1823959151.118796,0.092,2009681634.5,1823953130.58,0.092
46,1,heuristic,2.864,23,6000,5,1,piece-wise,3005461,65982872.0,-20.954,1.22,26.76,-20.934,2009681634.5,21807035863.7,-9.851,2009681634.5,21801481161.7,-9.848
47,1,heuristic_fw,0.004,23,6000,5,1,piece-wise,3005461,2638677.5142157567,0.122,1.22,1.07,0.123,2009681634.5,1824214540.739549,0.092,2009681634.5,1824209377.89,0.092
48,2,optimal,2234.075,19,6000,5,1,piece-wise,3008049,76670925.0,-24.489,1.22,31.22,-24.59,1983708981.0,24033437093.4,-11.115,1983708981.0,24025763420.4,-11.112
49,2,optimal_fw,0.004,19,6000,5,1,piece-wise,3008049,2678395.97923912,0.11,1.22,1.09,0.107,1983708981.0,1812630093.4022076,0.086,1983708981.0,1812620388.6,0.086
50,2,heuristic,3.512,34,6000,5,1,piece-wise,3008049,36264447.0,-11.056,1.22,14.77,-11.107,1983708981.0,22573061880.5,-10.379,1983708981.0,22568440731.5,-10.377
51,2,heuristic_fw,0.003,34,6000,5,1,piece-wise,3008049,2578708.346721056,0.143,1.22,1.05,0.139,1983708981.0,1807324470.2951624,0.089,1983708981.0,1807316788.7,0.089
52,3,optimal,2237.032,21,6000,5,1,piece-wise,3008144,76323057.0,-24.372,1.23,31.25,-24.407,2006888148.2,23371420429.6,-10.646,2006888148.2,23363316599.6,-10.642
53,3,optimal_fw,0.005,21,6000,5,1,piece-wise,3008144,2600896.504391022,0.135,1.23,1.07,0.13,2006888148.2,1788192084.1721568,0.109,2006888148.2,1788188717.36,0.109
54,3,heuristic,3.07,21,6000,5,1,piece-wise,3008144,67301701.0,-21.373,1.23,27.56,-21.407,2006888148.2,21051458750.2,-9.49,2006888148.2,21046039400.2,-9.487
55,3,heuristic_fw,0.004,21,6000,5,1,piece-wise,3008144,2618798.623770328,0.129,1.23,1.07,0.13,2006888148.2,1789431460.0096662,0.108,2006888148.2,1789416742.43,0.108
56,4,optimal,2246.496,27,6000,5,1,piece-wise,2938648,19074357.0,-5.491,1.2,7.8,-5.5,2062600014.8,18170587341.6,-7.81,2062600014.8,18168076480.6,-7.808
57,4,optimal_fw,0.004,27,6000,5,1,piece-wise,2938648,2536571.8911633007,0.137,1.2,1.04,0.133,2062600014.8,1835866878.9559772,0.11,2062600014.8,1835865340.26,0.11
58,4,heuristic,2.398,27,6000,5,1,piece-wise,2938648,33859984.0,-10.522,1.2,13.85,-10.542,2062600014.8,18718486258.4,-8.075,2062600014.8,18713760027.4,-8.073
59,4,heuristic_fw,0.003,27,6000,5,1,piece-wise,2938648,2550192.8013447435,0.132,1.2,1.04,0.133,2062600014.8,1836621921.5876887,0.11,2062600014.8,1836619052.66,0.11
60,0,optimal,2770.74,19,8000,5,1,piece-wise,3693329,101945806.0,-26.603,1.14,31.57,-26.693,3047477589.7,31904394786.0,-9.469,3047477589.7,31895938070.0,-9.466
61,0,optimal_fw,0.003,19,8000,5,1,piece-wise,3693329,3365180.790306495,0.089,1.14,1.04,0.088,3047477589.7,2634234301.9196963,0.136,3047477589.7,2634225085.38,0.136
62,0,heuristic,4.631,17,8000,5,1,piece-wise,3693329,53839752.0,-13.578,1.14,16.67,-13.623,3047477589.7,27349115215.0,-7.974,3047477589.7,27337186588.0,-7.97
63,0,heuristic_fw,0.004,17,8000,5,1,piece-wise,3693329,3356325.240924028,0.091,1.14,1.04,0.088,3047477589.7,2632957456.7635784,0.136,3047477589.7,2632948356.4,0.136
64,1,optimal,2562.802,30,8000,5,1,piece-wise,3855548,32343057.0,-7.389,1.2,10.09,-7.408,2761244821.3,23688248230.3,-7.579,2761244821.3,23684199073.3,-7.577
65,1,optimal_fw,0.003,30,8000,5,1,piece-wise,3855548,3294766.3791123433,0.145,1.2,1.03,0.142,2761244821.3,2405968450.3754754,0.129,2761244821.3,2405963875.78,0.129
66,1,heuristic,3.017,20,8000,5,1,piece-wise,3855548,90436406.0,-22.456,1.2,28.2,-22.5,2761244821.3,30002852682.9,-9.866,2761244821.3,29994498710.9,-9.863
67,1,heuristic_fw,0.004,20,8000,5,1,piece-wise,3855548,3377315.09671515,0.124,1.2,1.05,0.125,2761244821.3,2410156891.7515817,0.127,2761244821.3,2410148135.43,0.127
68,2,optimal,3146.109,24,8000,5,1,piece-wise,3986006,56658733.0,-13.214,1.23,17.46,-13.195,2695128980.3,31004092541.4,-10.504,2695128980.3,30997615485.4,-10.501
69,2,optimal_fw,0.004,24,8000,5,1,piece-wise,3986006,3429996.305751324,0.139,1.23,1.06,0.138,2695128980.3,2383119283.043375,0.116,2695128980.3,2383114365.43,0.116
70,2,heuristic,2.992,25,8000,5,1,piece-wise,3986006,29404975.0,-6.377,1.23,9.06,-6.366,2695128980.3,25094894956.2,-8.311,2695128980.3,25091068294.2,-8.31
71,2,heuristic_fw,0.004,25,8000,5,1,piece-wise,3986006,3381811.9773343354,0.152,1.23,1.04,0.154,2695128980.3,2380275362.737989,0.117,2695128980.3,2380270635.07,0.117
72,3,optimal,3207.381,28,8000,5,1,piece-wise,3999938,101809430.0,-24.453,1.23,31.41,-24.537,2608624647.3,31277999246.4,-10.99,2608624647.3,31270859072.4,-10.987
73,3,optimal_fw,0.003,28,8000,5,1,piece-wise,3999938,3482790.2374994284,0.129,1.23,1.07,0.13,2608624647.3,2369778693.6364655,0.092,2608624647.3,2369773792.24,0.092
74,3,heuristic,4.589,27,8000,5,1,piece-wise,3999938,66934472.0,-15.734,1.23,20.65,-15.789,2608624647.3,27254350633.8,-9.448,2608624647.3,27249413393.8,-9.446
75,3,heuristic_fw,0.003,27,8000,5,1,piece-wise,3999938,3497026.3999765515,0.126,1.23,1.08,0.122,2608624647.3,2370572558.7731895,0.091,2608624647.3,2370566786.91,0.091
76,4,optimal,3160.15,40,8000,5,1,piece-wise,4075948,100957102.0,-23.769,1.27,31.4,-23.724,2517600576.5,30326181378.1,-11.046,2517600576.5,30319533727.1,-11.043
77,4,optimal_fw,0.003,40,8000,5,1,piece-wise,4075948,3357175.869254069,0.176,1.27,1.04,0.181,2517600576.5,2302116502.394904,0.086,2517600576.5,2302108043.26,0.086
78,4,heuristic,2.549,34,8000,5,1,piece-wise,4075948,61350426.0,-14.052,1.27,19.08,-14.024,2517600576.5,25422337512.8,-9.098,2517600576.5,25413489514.8,-9.094
79,4,heuristic_fw,0.003,34,8000,5,1,piece-wise,4075948,3438241.0766343325,0.156,1.27,1.07,0.157,2517600576.5,2303311224.9488134,0.085,2517600576.5,2303303992.77,0.085
80,0,optimal,4320.713,24,10000,5,1,piece-wise,4708820,33775498.0,-6.173,1.16,8.3,-6.155,3783028435.7,32737400869.3,-7.654,3783028435.7,32732786382.3,-7.653
81,0,optimal_fw,0.003,24,10000,5,1,piece-wise,4708820,4192445.5865074755,0.11,1.16,1.03,0.112,3783028435.7,3228956020.5759654,0.146,3783028435.7,3228953116.41,0.146
82,0,heuristic,5.036,23,10000,5,1,piece-wise,4708820,46417691.0,-8.858,1.16,11.41,-8.836,3783028435.7,32702194749.4,-7.644,3783028435.7,32697028521.4,-7.643
83,0,heuristic_fw,0.003,23,10000,5,1,piece-wise,4708820,4191428.8167428467,0.11,1.16,1.03,0.112,3783028435.7,3229443222.9483643,0.146,3783028435.7,3229436917.37,0.146
84,1,optimal,4045.4,20,10000,5,1,piece-wise,5087010,126318398.0,-23.832,1.26,31.25,-23.802,3279023019.6,38539294400.0,-10.753,3279023019.6,38527214004.0,-10.75
85,1,optimal_fw,0.005,20,10000,5,1,piece-wise,5087010,4320437.493559721,0.151,1.26,1.07,0.151,3279023019.6,2910480093.371173,0.112,3279023019.6,2910470242.13,0.112
86,1,heuristic,5.762,29,10000,5,1,piece-wise,5087010,109857374.0,-20.596,1.26,27.18,-20.571,3279023019.6,33625540570.0,-9.255,3279023019.6,33617012592.0,-9.252
87,1,heuristic_fw,0.004,29,10000,5,1,piece-wise,5087010,4218706.344098176,0.171,1.26,1.04,0.175,3279023019.6,2908164502.2242303,0.113,3279023019.6,2908153627.22,0.113
88,2,optimal,3807.083,26,10000,5,1,piece-wise,5084213,126100890.0,-23.802,1.26,31.16,-23.73,3216649612.9,38682767499.0,-11.026,3216649612.9,38669018772.0,-11.022
89,2,optimal_fw,0.004,26,10000,5,1,piece-wise,5084213,4299895.335205985,0.154,1.26,1.06,0.159,3216649612.9,2914940287.90351,0.094,3216649612.9,2914936829.87,0.094
90,2,heuristic,3.387,24,10000,5,1,piece-wise,5084213,110303583.0,-20.695,1.26,27.26,-20.635,3216649612.9,34233972083.5,-9.643,3216649612.9,34226375692.5,-9.64
91,2,heuristic_fw,0.003,24,10000,5,1,piece-wise,5084213,4398182.804653768,0.135,1.26,1.09,0.135,3216649612.9,2918577227.191415,0.093,3216649612.9,2918567038.27,0.093
92,3,optimal,3746.01,20,10000,5,1,piece-wise,5050547,92521581.0,-17.319,1.24,22.66,-17.274,3238659238.1,37470846321.2,-10.57,3238659238.1,37462821380.2,-10.567
93,3,optimal_fw,0.004,20,10000,5,1,piece-wise,5050547,4465538.162490138,0.116,1.24,1.09,0.121,3238659238.1,2981592717.728117,0.079,3238659238.1,2981587066.28,0.079
94,3,heuristic,4.016,19,10000,5,1,piece-wise,5050547,65949569.0,-12.058,1.24,16.15,-12.024,3238659238.1,34116665818.0,-9.534,3238659238.1,34110777593.0,-9.532
95,3,heuristic_fw,0.003,19,10000,5,1,piece-wise,5050547,4465574.920815343,0.116,1.24,1.09,0.121,3238659238.1,2982208603.094618,0.079,3238659238.1,2982198550.86,0.079
96,4,optimal,3929.907,30,10000,5,1,piece-wise,4972522,74765405.0,-14.036,1.23,18.43,-13.984,3300875616.3,35107190255.8,-9.636,3300875616.3,35100009856.8,-9.634
97,4,optimal_fw,0.003,30,10000,5,1,piece-wise,4972522,4318277.56668262,0.132,1.23,1.06,0.138,3300875616.3,2985332091.601962,0.096,3300875616.3,2985325505.56,0.096
98,4,heuristic,4.781,29,10000,5,1,piece-wise,4972522,53433304.0,-9.746,1.23,13.17,-9.707,3300875616.3,36048212036.8,-9.921,3300875616.3,36042994911.8,-9.919
99,4,heuristic_fw,0.003,29,10000,5,1,piece-wise,4972522,4319390.894406507,0.131,1.23,1.06,0.138,3300875616.3,2985454844.3921885,0.096,3300875616.3,2985449951.49,0.096
